example_id                                                               | status | run_time        |
./spec/google/adk/agents/workflow_agents/parallel_agent_spec.rb[1:2:2]   | passed | 0.00021 seconds |
./spec/google/adk/agents/workflow_agents/parallel_agent_spec.rb[1:2:3]   | passed | 0.0002 seconds  |
./spec/google/adk/agents/workflow_agents/parallel_agent_spec.rb[1:2:4]   | passed | 0.00017 seconds |
./spec/google/adk/agents/workflow_agents/parallel_agent_spec.rb[1:2:5]   | passed | 0.00024 seconds |
./spec/google/adk/agents/workflow_agents/parallel_agent_spec.rb[1:3:1]   | passed | 0.00006 seconds |
./spec/google/adk/agents/workflow_agents/sequential_agent_spec.rb[1:1:1] | passed | 0.00009 seconds |
./spec/google/adk/agents/workflow_agents/sequential_agent_spec.rb[1:1:2] | passed | 0.00009 seconds |
./spec/google/adk/agents/workflow_agents/sequential_agent_spec.rb[1:1:3] | passed | 0.00009 seconds |
./spec/google/adk/agents/workflow_agents/sequential_agent_spec.rb[1:2:1] | passed | 0.00026 seconds |
./spec/google/adk/agents/workflow_agents/sequential_agent_spec.rb[1:2:2] | passed | 0.00082 seconds |
./spec/google/adk/agents/workflow_agents/sequential_agent_spec.rb[1:2:3] | passed | 0.00025 seconds |
./spec/google/adk/agents/workflow_agents/sequential_agent_spec.rb[1:2:4] | passed | 0.00058 seconds |
./spec/google/adk/agents/workflow_agents/sequential_agent_spec.rb[1:3:1] | passed | 0.00008 seconds |
./spec/google/adk/agents/workflow_agents/sequential_agent_spec.rb[1:3:2] | passed | 0.0003 seconds  |
./spec/google/adk/context_spec.rb[1:1:1]                                 | passed | 0.00007 seconds |
./spec/google/adk/context_spec.rb[1:1:2]                                 | passed | 0.00008 seconds |
./spec/google/adk/context_spec.rb[2:1:1]                                 | passed | 0.00014 seconds |
./spec/google/adk/context_spec.rb[2:2:1]                                 | passed | 0.00022 seconds |
./spec/google/adk/context_spec.rb[2:3:1]                                 | passed | 0.00011 seconds |
./spec/google/adk/context_spec.rb[3:1:1]                                 | passed | 0.00012 seconds |
./spec/google/adk/context_spec.rb[3:2:1]                                 | passed | 0.00027 seconds |
./spec/google/adk/context_spec.rb[4:1:1]                                 | passed | 0.00018 seconds |
./spec/google/adk/context_spec.rb[4:1:2]                                 | passed | 0.0001 seconds  |
./spec/google/adk/context_spec.rb[4:1:3]                                 | passed | 0.00012 seconds |
./spec/google/adk/context_spec.rb[4:2:1]                                 | passed | 0.00011 seconds |
./spec/google/adk/context_spec.rb[4:2:2]                                 | passed | 0.0001 seconds  |
./spec/google/adk/context_spec.rb[4:3:1]                                 | passed | 0.0002 seconds  |
./spec/google/adk/context_spec.rb[5:1:1]                                 | passed | 0.00006 seconds |
./spec/google/adk/context_spec.rb[5:1:2]                                 | passed | 0.00009 seconds |
./spec/google/adk/context_spec.rb[6:1:1]                                 | passed | 0.00008 seconds |
./spec/google/adk/context_spec.rb[6:1:2]                                 | passed | 0.0001 seconds  |
./spec/google/adk/events_spec.rb[1:1:1]                                  | passed | 0.00008 seconds |
./spec/google/adk/events_spec.rb[1:1:2]                                  | passed | 0.00015 seconds |
./spec/google/adk/events_spec.rb[1:1:3]                                  | passed | 0.00006 seconds |
./spec/google/adk/events_spec.rb[1:1:4]                                  | passed | 0.00008 seconds |
./spec/google/adk/events_spec.rb[1:1:5]                                  | passed | 0.00007 seconds |
./spec/google/adk/events_spec.rb[1:1:6]                                  | passed | 0.00007 seconds |
./spec/google/adk/events_spec.rb[1:1:7]                                  | passed | 0.00007 seconds |
./spec/google/adk/events_spec.rb[1:2:1]                                  | passed | 0.00094 seconds |
./spec/google/adk/events_spec.rb[1:2:2]                                  | passed | 0.0001 seconds  |
./spec/google/adk/events_spec.rb[1:2:3]                                  | passed | 0.00085 seconds |
./spec/google/adk/events_spec.rb[1:3:1]                                  | passed | 0.00219 seconds |
./spec/google/adk/events_spec.rb[1:4:1]                                  | passed | 0.00039 seconds |
./spec/google/adk/events_spec.rb[2:1:1]                                  | passed | 0.00007 seconds |
./spec/google/adk/events_spec.rb[2:1:2]                                  | passed | 0.00007 seconds |
./spec/google/adk/events_spec.rb[2:1:3]                                  | passed | 0.00096 seconds |
./spec/google/adk/events_spec.rb[2:1:4]                                  | passed | 0.00006 seconds |
./spec/google/adk/events_spec.rb[2:1:5]                                  | passed | 0.00008 seconds |
./spec/google/adk/events_spec.rb[2:1:6]                                  | passed | 0.00106 seconds |
./spec/google/adk/events_spec.rb[2:2:1]                                  | passed | 0.00353 seconds |
./spec/google/adk/events_spec.rb[2:2:2]                                  | passed | 0.00009 seconds |
./spec/google/adk/events_spec.rb[3:1:1]                                  | passed | 0.00019 seconds |
./spec/google/adk/events_spec.rb[3:1:2]                                  | passed | 0.0012 seconds  |
./spec/google/adk/events_spec.rb[4:1:1]                                  | passed | 0.00073 seconds |
./spec/google/adk/events_spec.rb[4:1:2]                                  | passed | 0.00011 seconds |
./spec/google/adk/runner_spec.rb[1:1:1]                                  | passed | 0.00007 seconds |
./spec/google/adk/runner_spec.rb[1:1:2]                                  | passed | 0.00006 seconds |
./spec/google/adk/runner_spec.rb[1:1:3]                                  | passed | 0.00007 seconds |
./spec/google/adk/runner_spec.rb[1:1:4]                                  | passed | 0.00006 seconds |
./spec/google/adk/runner_spec.rb[1:2:1]                                  | passed | 0.00012 seconds |
./spec/google/adk/runner_spec.rb[1:2:2]                                  | passed | 0.00007 seconds |
./spec/google/adk/runner_spec.rb[1:2:3]                                  | passed | 0.00014 seconds |
./spec/google/adk/runner_spec.rb[1:3:1]                                  | passed | 0.00006 seconds |
./spec/google/adk/runner_spec.rb[1:4:1]                                  | passed | 0.00012 seconds |
./spec/google/adk/runner_spec.rb[1:4:2]                                  | passed | 0.00016 seconds |
./spec/google/adk/runner_spec.rb[1:4:3]                                  | passed | 0.00016 seconds |
./spec/google/adk/runner_spec.rb[1:5:1]                                  | passed | 0.00809 seconds |
./spec/google/adk/runner_spec.rb[1:5:2]                                  | passed | 0.00054 seconds |
./spec/google/adk/runner_spec.rb[1:6:1]                                  | passed | 0.00018 seconds |
./spec/google/adk/runner_spec.rb[2:1:1]                                  | passed | 0.0001 seconds  |
./spec/google/adk/runner_spec.rb[3:1:1]                                  | passed | 0.00011 seconds |
./spec/google/adk/session_spec.rb[1:1:1]                                 | passed | 0.00007 seconds |
./spec/google/adk/session_spec.rb[1:1:2]                                 | passed | 0.00006 seconds |
./spec/google/adk/session_spec.rb[1:1:3]                                 | passed | 0.00007 seconds |
./spec/google/adk/session_spec.rb[1:1:4]                                 | passed | 0.00061 seconds |
./spec/google/adk/session_spec.rb[1:1:5]                                 | passed | 0.00006 seconds |
./spec/google/adk/session_spec.rb[1:1:6]                                 | passed | 0.00007 seconds |
./spec/google/adk/session_spec.rb[1:2:1]                                 | passed | 0.00016 seconds |
./spec/google/adk/session_spec.rb[1:3:1]                                 | passed | 0.0015 seconds  |
./spec/google/adk/session_spec.rb[2:1:1]                                 | passed | 0.00007 seconds |
./spec/google/adk/session_spec.rb[2:1:2]                                 | passed | 0.00011 seconds |
./spec/google/adk/session_spec.rb[2:1:3]                                 | passed | 0.00007 seconds |
./spec/google/adk/session_spec.rb[2:1:4]                                 | passed | 0.00008 seconds |
./spec/google/adk/session_spec.rb[2:1:5]                                 | passed | 0.00007 seconds |
./spec/google/adk/session_spec.rb[2:1:6]                                 | passed | 0.00007 seconds |
./spec/google/adk/session_spec.rb[3:1:1]                                 | passed | 0.00085 seconds |
./spec/google/adk/session_spec.rb[3:1:2]                                 | passed | 0.00013 seconds |
./spec/google/adk/session_spec.rb[3:1:3]                                 | passed | 0.00015 seconds |
./spec/google/adk/session_spec.rb[3:2:1]                                 | passed | 0.00009 seconds |
./spec/google/adk/session_spec.rb[3:2:2]                                 | passed | 0.00006 seconds |
./spec/google/adk/session_spec.rb[3:3:1]                                 | passed | 0.00015 seconds |
./spec/google/adk/session_spec.rb[3:3:2]                                 | passed | 0.01136 seconds |
./spec/google/adk/session_spec.rb[3:3:3]                                 | passed | 0.00006 seconds |
./spec/google/adk/session_spec.rb[3:4:1]                                 | passed | 0.00318 seconds |
./spec/google/adk/session_spec.rb[3:4:2]                                 | passed | 0.00095 seconds |
./spec/google/adk/session_spec.rb[3:5:1]                                 | passed | 0.00108 seconds |
./spec/google/adk/session_spec.rb[3:5:2]                                 | passed | 0.00014 seconds |
./spec/google/adk/session_spec.rb[3:6:1]                                 | passed | 0.00152 seconds |
./spec/google/adk/session_spec.rb[3:6:2]                                 | passed | 0.00009 seconds |
./spec/google/adk/session_spec.rb[3:6:3]                                 | passed | 0.00009 seconds |
./spec/google/adk_spec.rb[1:1]                                           | passed | 0.0009 seconds  |
